"","experiment_alias","cell_line"
"134","GSM1206279","SW13"
"135","GSM1234248","testis"
"136","GSM1234249","testis"
"137","GSM1234250","testis"
"138","GSM1234251","testis"
"139","GSM1234252","testis"
"140","GSM1234253","testis"
"141","GSM1234254","testis"
"142","GSM1234255","testis"
"143","GSM1245211","brain"
"144","GSM1245212","brain"
"145","GSM1245213","brain"
"146","GSM1245214","brain"
"147","GSM1245215","brain"
"148","GSM1245216","brain"
"149","GSM1245217","PDGF/Cre tumor"
"150","GSM1245218","PDGF/Cre tumor"
"151","GSM1245219","PDGF/Cre tumor"
"152","GSM1245220","PDGF/Cre tumor"
"153","GSM1245221","PDGF/Cre tumor"
"154","GSM1245222","PDGF/Cre tumor"
"155","GSM1245223","PDGF/Cre tumor"
"156","GSM1245224","PDGF/Cre tumor"
"157","GSM1245225","PDGF/Cre tumor"
"158","GSM1248728","U2OS"
"159","GSM1248729","U2OS"
"160","GSM1248730","U2OS"
"161","GSM1248731","U2OS"
"162","GSM1248732","U2OS"
"163","GSM1248733","U2OS"
"164","GSM1248734","U2OS"
"165","GSM1248735","U2OS"
"166","GSM1248736","U2OS"
"167","GSM1249412","Forebrain"
"168","GSM1249414","Forebrain"
"169","GSM1249418","Forebrain"
"170","GSM1249432","kidney"
"171","GSM1249433","kidney"
"172","GSM1249434","kidney"
"173","GSM1267846","HEK293"
"174","GSM1267847","HEK293"
"175","GSM1267848","HEK293"
"176","GSM1267849","HEK293"
"177","GSM1267850","HEK293"
"178","GSM1267851","HEK293"
"179","GSM1267852","HEK293"
"180","GSM1267853","HEK293"
"181","GSM1267854","HEK293"
"182","GSM1267855","HEK293"
"183","GSM1267856","HEK293"
"184","GSM1267857","HEK293"
"185","GSM1279683","HEK293"
"186","GSM1279684","HEK293"
"187","GSM1279685","HEK293"
"188","GSM1279686","HEK293"
"189","GSM1279687","HEK293"
"190","GSM1279688","HEK293"
"191","GSM1279689","HEK293"
"192","GSM1279690","HEK293"
"193","GSM1279702","WI-38"
"194","GSM1279703","WI-38"
"195","GSM1279704","WI-38"
"196","GSM1279705","WI-38"
"197","GSM1279706","WI-38"
"198","GSM1279707","HeLa"
"199","GSM1279708","HeLa"
"200","GSM1279709","HeLa"
"201","GSM1299856","embryonic fibroblast"
"202","GSM1299857","embryonic fibroblast"
"203","GSM1299858","embryonic fibroblast"
"204","GSM1299859","embryonic fibroblast"
"205","GSM1299860","embryonic fibroblast"
"206","GSM1299861","embryonic fibroblast"
"207","GSM1299862","embryonic fibroblast"
"208","GSM1299863","embryonic fibroblast"
"209","GSM1299864","embryonic fibroblast"
"210","GSM1299865","embryonic fibroblast"
"211","GSM1299866","embryonic fibroblast"
"212","GSM1299867","embryonic fibroblast"
"213","GSM1299868","embryonic fibroblast"
"214","GSM1299869","embryonic fibroblast"
"215","GSM1299870","embryonic fibroblast"
"216","GSM1299871","embryonic fibroblast"
"217","GSM1299872","embryonic fibroblast"
"218","GSM1299873","embryonic fibroblast"
"219","GSM1299874","embryonic fibroblast"
"221","GSM1299876","embryonic fibroblast"
"222","GSM1299877","embryonic fibroblast"
"223","GSM1299878","embryonic fibroblast"
"224","GSM1299879","embryonic fibroblast"
"225","GSM1299880","embryonic fibroblast"
"226","GSM1299881","embryonic fibroblast"
"227","GSM1299882","embryonic fibroblast"
"228","GSM1299883","embryonic fibroblast"
"229","GSM1299884","embryonic fibroblast"
"230","GSM1299885","embryonic fibroblast"
"231","GSM1299886","embryonic fibroblast"
"232","GSM1299887","embryonic fibroblast"
"233","GSM1299888","embryonic fibroblast"
"234","GSM1299889","embryonic fibroblast"
"235","GSM1299890","embryonic fibroblast"
"236","GSM1299891","embryonic fibroblast"
"237","GSM1299892","embryonic fibroblast"
"238","GSM1299893","embryonic fibroblast"
"239","GSM1299894","embryonic fibroblast"
"240","GSM1299895","embryonic fibroblast"
"241","GSM1299936","embryonic fibroblast"
"242","GSM1299937","embryonic fibroblast"
"243","GSM1299938","embryonic fibroblast"
"244","GSM1299939","embryonic fibroblast"
"245","GSM1299940","embryonic fibroblast"
"246","GSM1299941","embryonic fibroblast"
"247","GSM1299942","embryonic fibroblast"
"248","GSM1299943","embryonic fibroblast"
"249","GSM1299944","embryonic fibroblast"
"250","GSM1299945","embryonic fibroblast"
"251","GSM1299946","embryonic fibroblast"
"252","GSM1299947","embryonic fibroblast"
"253","GSM1321438","HBE"
"254","GSM1321439","A549"
"255","GSM1321440","H1299"
"256","GSM1331342","HEK293T"
"257","GSM1331343","HEK293T"
"258","GSM1331344","HEK293T"
"259","GSM1331345","HEK293T"
"261","GSM1331347","HEK293T"
"263","GSM1331349","HEK293T"
"264","GSM1356674","Skeletal muscle tissue"
"265","GSM1356675","Skeletal muscle tissue"
"266","GSM1356676","Skeletal muscle tissue"
"267","GSM1356677","Skeletal muscle tissue"
"268","GSM1371395","U2OS"
"269","GSM1371396","U2OS"
"270","GSM1371397","U2OS"
"271","GSM1371398","U2OS"
"272","GSM1371399","U2OS"
"273","GSM1371400","U2OS"
"274","GSM1371401","U2OS"
"275","GSM1371402","U2OS"
"276","GSM1371403","U2OS"
"277","GSM1371404","U2OS"
"278","GSM1371405","U2OS"
"279","GSM1371406","U2OS"
"280","GSM1371407","U2OS"
"281","GSM1371408","U2OS"
"282","GSM1371409","U2OS"
"283","GSM1371410","U2OS"
"284","GSM1371411","U2OS"
"285","GSM1371412","U2OS"
"286","GSM1371413","U2OS"
"287","GSM1371414","U2OS"
"288","GSM1371415","U2OS"
"289","GSM1371416","U2OS"
"290","GSM1371417","U2OS"
"291","GSM1371418","U2OS"
"292","GSM1371419","U2OS"
"293","GSM1371420","U2OS"
"294","GSM1371421","U2OS"
"295","GSM1371422","U2OS"
"296","GSM1371423","U2OS"
"297","GSM1371424","U2OS"
"298","GSM1371425","U2OS"
"299","GSM1371426","U2OS"
"300","GSM1371427","U2OS"
"301","GSM1371428","U2OS"
"302","GSM1371429","U2OS"
"303","GSM1371430","U2OS"
"304","GSM1371431","U2OS"
"305","GSM1371432","U2OS"
"306","GSM1371433","U2OS"
"307","GSM1371434","U2OS"
"308","GSM1371435","U2OS"
"309","GSM1371436","U2OS"
"310","GSM1371437","U2OS"
"311","GSM1371438","U2OS"
"312","GSM1371439","U2OS"
"313","GSM1371440","U2OS"
"314","GSM1371441","U2OS"
"315","GSM1371442","U2OS"
"316","GSM1371443","U2OS"
"317","GSM1371444","U2OS"
"318","GSM1371445","U2OS"
"319","GSM1371446","U2OS"
"320","GSM1371447","U2OS"
"321","GSM1371448","U2OS"
"322","GSM1371449","U2OS"
"323","GSM1371450","U2OS"
"324","GSM1371451","U2OS"
"325","GSM1371452","U2OS"
"326","GSM1371453","U2OS"
"327","GSM1371454","U2OS"
"328","GSM1371455","U2OS"
"329","GSM1371456","U2OS"
"330","GSM1371457","U2OS"
"331","GSM1371458","U2OS"
"332","GSM1371459","U2OS"
"333","GSM1371460","U2OS"
"334","GSM1371461","U2OS"
"335","GSM1371462","U2OS"
"336","GSM1371463","U2OS"
"337","GSM1371464","U2OS"
"338","GSM1371465","U2OS"
"339","GSM1371466","U2OS"
"340","GSM1371467","U2OS"
"341","GSM1371468","U2OS"
"342","GSM1371469","U2OS"
"343","GSM1371470","U2OS"
"344","GSM1371471","U2OS"
"345","GSM1371472","U2OS"
"346","GSM1371473","U2OS"
"347","GSM1371474","U2OS"
"348","GSM1371475","U2OS"
"349","GSM1371476","U2OS"
"350","GSM1371477","U2OS"
"351","GSM1371478","U2OS"
"352","GSM1371479","U2OS"
"353","GSM1371480","U2OS"
"354","GSM1371481","U2OS"
"355","GSM1371482","U2OS"
"356","GSM1371483","U2OS"
"357","GSM1371484","U2OS"
"358","GSM1371485","U2OS"
"359","GSM1371486","U2OS"
"360","GSM1371487","U2OS"
"361","GSM1371488","U2OS"
"362","GSM1371489","U2OS"
"363","GSM1371490","U2OS"
"364","GSM1403307","Colorectal carcinoma derived cell line"
"365","GSM1403308","Colorectal carcinoma derived cell line"
"366","GSM1410654","NSC"
"367","GSM1410655","NSC"
"368","GSM1410656","NSC"
"369","GSM1410657","NSC"
"370","GSM1410658","NSC"
"371","GSM1410659","NSC"
"372","GSM1410660","NSC"
"373","GSM1410661","NSC"
"374","GSM1410662","NSC"
"375","GSM1410663","NSC"
"376","GSM1410664","NSC"
"377","GSM1410665","NSC"
"378","GSM1410666","NSC"
"379","GSM1410667","NSC"
"380","GSM1410668","NSC"
"381","GSM1410669","NSC"
"382","GSM1410670","NSC"
"383","GSM1410671","NSC"
"384","GSM1410672","NSC"
"385","GSM1410673","NSC"
"386","GSM1410674","NSC"
"387","GSM1410675","NSC"
"388","GSM1427351","HEK293T"
"389","GSM1427352","HEK293T"
"390","GSM1427353","HEK293T"
"391","GSM1427354","HEK293T"
"392","GSM1427355","HEK293T"
"393","GSM1427356","HEK293T"
"396","GSM1427364","HEK293T"
"397","GSM1435022","olfactory epithelium"
"398","GSM1435023","olfactory epithelium"
"399","GSM1435024","olfactory epithelium"
"400","GSM1435025","olfactory epithelium"
"401","GSM1435026","olfactory epithelium"
"402","GSM1435027","olfactory epithelium"
"403","GSM1435028","olfactory epithelium"
"404","GSM1435029","olfactory epithelium"
"405","GSM1435030","olfactory epithelium"
"406","GSM1435031","olfactory epithelium"
"407","GSM1435032","olfactory epithelium"
"408","GSM1436481","HeLa"
"409","GSM1446348","Bone marrow derived dendritic cells"
"410","GSM1446349","Bone marrow derived dendritic cells"
"411","GSM1446350","Bone marrow derived dendritic cells"
"412","GSM1446351","Bone marrow derived dendritic cells"
"413","GSM1446352","Bone marrow derived dendritic cells"
"414","GSM1446353","Bone marrow derived dendritic cells"
"415","GSM1446354","Bone marrow derived dendritic cells"
"416","GSM1446355","Bone marrow derived dendritic cells"
"417","GSM1446356","Bone marrow derived dendritic cells"
"418","GSM1446357","Bone marrow derived dendritic cells"
"419","GSM1446358","Bone marrow derived dendritic cells"
"420","GSM1446359","Bone marrow derived dendritic cells"
"421","GSM1446360","Bone marrow derived dendritic cells"
"422","GSM1446361","Bone marrow derived dendritic cells"
"423","GSM1446362","Bone marrow derived dendritic cells"
"424","GSM1446363","Bone marrow derived dendritic cells"
"425","GSM1446364","Bone marrow derived dendritic cells"
"426","GSM1446365","Bone marrow derived dendritic cells"
"427","GSM1446366","Bone marrow derived dendritic cells"
"428","GSM1446367","Bone marrow derived dendritic cells"
"429","GSM1446368","Bone marrow derived dendritic cells"
"430","GSM1446369","Bone marrow derived dendritic cells"
"431","GSM1446370","Bone marrow derived dendritic cells"
"432","GSM1446371","Bone marrow derived dendritic cells"
"433","GSM1446372","Bone marrow derived dendritic cells"
"434","GSM1446373","Bone marrow derived dendritic cells"
"435","GSM1446832","SUM1315"
"436","GSM1446833","SUM1315"
"437","GSM1446834","MCF10A"
"438","GSM1446838","MCF10A"
"439","GSM1446846","MCF10A"
"440","GSM1446847","MCF10A"
"441","GSM1446848","MCF10A"
"442","GSM1446849","MCF10A"
"443","GSM1446850","MCF10A"
"444","GSM1446851","MCF10A"
"445","GSM1446852","MCF10A"
"446","GSM1446853","MCF10A"
"447","GSM1446854","MCF10A"
"448","GSM1446855","MCF10A"
"449","GSM1446856","MCF10A"
"450","GSM1446857","MCF10A"
"451","GSM1446858","MCF10A"
"452","GSM1446859","MCF10A"
"453","GSM1446860","MCF10A"
"454","GSM1446861","MCF10A"
"455","GSM1446862","MCF10A"
"456","GSM1446863","MCF10A"
"457","GSM1446864","MCF10A"
"458","GSM1446865","MCF10A"
"459","GSM1446866","U2OS"
"460","GSM1446867","U2OS"
"461","GSM1446868","U2OS"
"462","GSM1446869","U2OS"
"463","GSM1446870","U2OS"
"464","GSM1446871","U2OS"
"465","GSM1446872","U2OS"
"466","GSM1446873","U2OS"
"467","GSM1446874","Kidney normal tissue"
"468","GSM1446875","Kidney normal tissue"
"469","GSM1446876","ccRCC"
"470","GSM1446877","ccRCC"
"471","GSM1446878","ccRCC"
"472","GSM1446879","ccRCC"
"473","GSM1464095","foreskin fibroblasts"
"474","GSM1464096","foreskin fibroblasts"
"475","GSM1464097","foreskin fibroblasts"
"476","GSM1464098","foreskin fibroblasts"
"477","GSM1464099","foreskin fibroblasts"
"478","GSM1464100","foreskin fibroblasts"
"479","GSM1464101","foreskin fibroblasts"
"480","GSM1464102","foreskin fibroblasts"
"481","GSM1464103","foreskin fibroblasts"
"482","GSM1464104","foreskin fibroblasts"
"483","GSM1464105","foreskin fibroblasts"
"484","GSM1464106","foreskin fibroblasts"
"485","GSM1464901","E14"
"486","GSM1464902","E14"
"487","GSM1464903","HEK293"
"488","GSM1464904","HEK293"
"489","GSM1479569","primary B cell"
"490","GSM1479570","primary B cell"
"491","GSM1479571","primary B cell"
"492","GSM1479572","primary B cell"
"493","GSM1479573","primary B cell"
"494","GSM1479574","primary B cell"
"495","GSM1479575","primary B cell"
"496","GSM1479576","primary B cell"
"497","GSM1479577","primary B cell"
"498","GSM1479578","primary B cell"
"499","GSM1479579","primary B cell"
"500","GSM1479580","primary B cell"
"501","GSM1479581","primary B cell"
"502","GSM1479582","primary B cell"
"503","GSM1479583","primary B cell"
"504","GSM1479584","primary B cell"
"505","GSM1479585","U2OS"
"506","GSM1479586","U2OS"
"507","GSM1479587","U2OS"
"508","GSM1479588","U2OS"
"509","GSM1479589","U2OS"
"510","GSM1479590","U2OS"
"511","GSM1479591","U2OS"
"512","GSM1479592","U2OS"
"513","GSM1479593","U2OS"
"514","GSM1479594","U2OS"
"515","GSM1479595","U2OS"
"516","GSM1479596","U2OS"
"517","GSM1479597","HEK293T"
"518","GSM1479598","HEK293T"
"519","GSM1479599","HEK293T"
"521","GSM1479601","liver tissue"
"522","GSM1479602","liver tissue"
"523","GSM1479603","liver tissue"
"524","GSM1479604","liver tissue"
"525","GSM1479605","3T3"
"526","GSM1479606","3T3"
"527","GSM1479607","3T3"
"528","GSM1479608","3T3"
"529","GSM1479609","3T3"
"530","GSM1479610","3T3"
"531","GSM1479611","3T3"
"532","GSM1479612","3T3"
"533","GSM1479613","3T3"
"534","GSM1479614","3T3"
"535","GSM1479615","3T3"
"536","GSM1479616","3T3"
"537","GSM1479617","3T3"
"538","GSM1479618","3T3"
"539","GSM1479619","3T3"
"540","GSM1479620","3T3"
"541","GSM1479621","3T3"
"542","GSM1479622","3T3"
"543","GSM1479623","3T3"
"544","GSM1479624","3T3"
"545","GSM1479625","3T3"
"546","GSM1479626","3T3"
"547","GSM1479627","3T3"
"548","GSM1479628","3T3"
"549","GSM1479629","3T3"
"550","GSM1479630","3T3"
"551","GSM1479631","3T3"
"552","GSM1479632","3T3"
"553","GSM1479633","3T3"
"554","GSM1479634","3T3"
"555","GSM1479635","3T3"
"556","GSM1479636","3T3"
"557","GSM1479637","3T3"
"558","GSM1479638","3T3"
"559","GSM1479639","3T3"
"560","GSM1479640","3T3"
"561","GSM1479641","3T3"
"562","GSM1479642","3T3"
"563","GSM1479643","3T3"
"564","GSM1479644","3T3"
"565","GSM1479645","3T3"
"566","GSM1479646","3T3"
"567","GSM1479647","3T3"
"568","GSM1479648","3T3"
"569","GSM1479649","3T3"
"570","GSM1479650","3T3"
"571","GSM1495244","normal brain tissue"
"572","GSM1495245","normal brain tissue"
"573","GSM1495246","normal brain tissue"
"574","GSM1495247","tumor"
"575","GSM1495248","tumor"
"576","GSM1495249","normal brain tissue"
"577","GSM1495250","normal brain tissue"
"578","GSM1495251","normal brain tissue"
"579","GSM1495252","tumor"
"580","GSM1495253","tumor"
"581","GSM1495535","HEK293T"
"582","GSM1495536","HEK293T"
"583","GSM1503433","MDA-MB-231"
"584","GSM1503434","MDA-MB-231"
"585","GSM1503435","MDA-MB-231"
"586","GSM1503436","MDA-MB-231"
"587","GSM1503437","MDA-MB-231"
"588","GSM1503438","MDA-MB-231"
"589","GSM1503439","MDA-MB-231"
"590","GSM1503440","MDA-MB-231"
"591","GSM1503441","MDA-MB-231"
"592","GSM1503442","MDA-MB-231"
"593","GSM1503443","MDA-MB-231"
"594","GSM1503444","MDA-MB-231"
"595","GSM1503445","MDA-MB-231"
"596","GSM1513187","LCL"
"597","GSM1513188","LCL"
"598","GSM1513189","LCL"
"599","GSM1513190","LCL"
"600","GSM1513191","LCL"
"601","GSM1513192","LCL"
"602","GSM1513193","LCL"
"603","GSM1513194","LCL"
"604","GSM1513195","LCL"
"605","GSM1513196","LCL"
"606","GSM1513197","LCL"
"607","GSM1513198","LCL"
"608","GSM1513199","LCL"
"609","GSM1513200","LCL"
"610","GSM1513201","LCL"
"611","GSM1513202","LCL"
"612","GSM1513203","LCL"
"613","GSM1513204","LCL"
"614","GSM1513205","LCL"
"615","GSM1513206","LCL"
"616","GSM1513207","LCL"
"617","GSM1513208","LCL"
"618","GSM1513209","LCL"
"619","GSM1513210","LCL"
"620","GSM1513211","LCL"
"621","GSM1513212","LCL"
"622","GSM1513213","LCL"
"623","GSM1513214","LCL"
"624","GSM1513215","LCL"
"625","GSM1513216","LCL"
"626","GSM1513217","LCL"
"627","GSM1513218","LCL"
"628","GSM1513219","LCL"
"629","GSM1513220","LCL"
"630","GSM1513221","LCL"
"631","GSM1513222","LCL"
"632","GSM1513223","LCL"
"633","GSM1513224","LCL"
"634","GSM1513225","LCL"
"635","GSM1513226","LCL"
"636","GSM1513227","LCL"
"637","GSM1513228","LCL"
"638","GSM1513229","LCL"
"639","GSM1513230","LCL"
"640","GSM1513231","LCL"
"641","GSM1513232","LCL"
"642","GSM1513233","LCL"
"643","GSM1513234","LCL"
"644","GSM1513235","LCL"
"645","GSM1513236","LCL"
"646","GSM1513237","LCL"
"647","GSM1513238","LCL"
"648","GSM1513239","LCL"
"649","GSM1513240","LCL"
"650","GSM1513241","LCL"
"651","GSM1513242","LCL"
"652","GSM1513243","LCL"
"653","GSM1513244","LCL"
"654","GSM1513245","LCL"
"655","GSM1513246","LCL"
"656","GSM1513247","LCL"
"657","GSM1513248","LCL"
"658","GSM1513249","LCL"
"659","GSM1513250","LCL"
"660","GSM1513251","LCL"
"661","GSM1513252","LCL"
"662","GSM1513253","LCL"
"663","GSM1513254","LCL"
"664","GSM1513255","LCL"
"665","GSM1513256","LCL"
"666","GSM1513257","LCL"
"667","GSM1513258","LCL"
"668","GSM1518040","ESC"
"669","GSM1518041","embroid bodies"
"670","GSM1518042","ESC"
"671","GSM1518043","embroid bodies"
"672","GSM1518044","ESC"
"673","GSM1518045","ESC"
"674","GSM1518046","ESC"
"675","GSM1518047","embroid bodies"
"676","GSM1518048","embroid bodies"
"677","GSM1518049","ESC"
"678","GSM1518050","ESC"
"679","GSM1518051","ESC"
"680","GSM1518052","embroid bodies"
"681","GSM1518053","embroid bodies"
"682","GSM1518054","embryonic fibroblast"
"683","GSM1520107","Splenic B cells"
"684","GSM1520108","Splenic B cells"
"685","GSM1520109","Splenic B cells"
"686","GSM1520110","Splenic B cells"
"687","GSM1520111","Splenic B cells"
"688","GSM1520112","Splenic B cells"
"689","GSM1520113","Splenic B cells"
"690","GSM1520114","Splenic B cells"
"691","GSM1520115","Splenic B cells"
"692","GSM1520116","Splenic B cells"
"693","GSM1520117","Splenic B cells"
"694","GSM1520118","Splenic B cells"
"695","GSM1520119","Splenic B cells"
"696","GSM1520120","Splenic B cells"
"697","GSM1520121","Splenic B cells"
"698","GSM1520214","Splenic B cells"
"699","GSM1520215","Splenic B cells"
"700","GSM1520216","Splenic B cells"
"701","GSM1520217","Splenic B cells"
"702","GSM1520218","Splenic B cells"
"703","GSM1520219","Splenic B cells"
"704","GSM1520220","Splenic B cells"
"705","GSM1520221","Splenic B cells"
"706","GSM1520222","Splenic B cells"
"707","GSM1520223","Splenic B cells"
"708","GSM1520224","Splenic B cells"
"709","GSM1520225","Splenic B cells"
"710","GSM1520226","Splenic B cells"
"711","GSM1520227","Splenic B cells"
"712","GSM1520228","Splenic B cells"
"713","GSM1520229","Splenic B cells"
"714","GSM1520230","Splenic B cells"
"715","GSM1520231","Splenic B cells"
"716","GSM1523624","H1"
"717","GSM1523625","H1"
"718","GSM1523626","H1"
"719","GSM1523627","H1"
"720","GSM1523628","H1"
"721","GSM1523629","H1"
"722","GSM1523630","H1"
"723","GSM1523631","H1"
"724","GSM1523632","H1"
"725","GSM1523633","H1"
"726","GSM1523634","H1"
"727","GSM1523635","H1"
"728","GSM1523636","H1"
"729","GSM1523637","H1"
"730","GSM1523638","H1"
"731","GSM1523639","H1"
"732","GSM1523640","H1"
"733","GSM1523641","H1"
"734","GSM1523642","H1"
"735","GSM1523643","H1"
"736","GSM1523644","H1"
"737","GSM1523645","H1"
"738","GSM1523646","H1"
"739","GSM1523647","H1"
"740","GSM1523648","H1"
"741","GSM1523649","H1"
"742","GSM1523650","H1"
"743","GSM1523651","H1"
"744","GSM1523652","H1"
"745","GSM1523653","H1"
"746","GSM1523654","H1"
"747","GSM1523655","H1"
"748","GSM1552807","NCCIT"
"749","GSM1552808","NCCIT"
"750","GSM1553248","HeLa"
"751","GSM1553249","HeLa"
"752","GSM1553250","HeLa"
"753","GSM1553251","HeLa"
"754","GSM1553252","HeLa"
"755","GSM1553253","HeLa"
"756","GSM1553254","HeLa"
"757","GSM1553255","HeLa"
"758","GSM1554684","Bone marrow derived dendritic cells"
"760","GSM1585204","fibroblast"
"761","GSM1585205","fibroblast"
"762","GSM1585206","fibroblast"
"763","GSM1585207","fibroblast"
"764","GSM1585208","fibroblast"
"765","GSM1585209","fibroblast"
"766","GSM1585210","fibroblast"
"767","GSM1585211","fibroblast"
"768","GSM1585212","fibroblast"
"769","GSM1585213","fibroblast"
"770","GSM1585214","fibroblast"
"771","GSM1585215","fibroblast"
"772","GSM1585216","fibroblast"
"773","GSM1585217","fibroblast"
"774","GSM1585218","fibroblast"
"775","GSM1585219","fibroblast"
"776","GSM1585220","fibroblast"
"777","GSM1585221","fibroblast"
"778","GSM1585222","fibroblast"
"779","GSM1585223","fibroblast"
"780","GSM1585224","fibroblast"
"781","GSM1585225","fibroblast"
"782","GSM1585226","fibroblast"
"783","GSM1585227","fibroblast"
"784","GSM1585228","fibroblast"
"785","GSM1585229","fibroblast"
"786","GSM1585230","fibroblast"
"787","GSM1585231","fibroblast"
"788","GSM1585232","fibroblast"
"789","GSM1585233","fibroblast"
"790","GSM1585234","fibroblast"
"791","GSM1585235","fibroblast"
"792","GSM1585236","fibroblast"
"793","GSM1585237","fibroblast"
"794","GSM1585238","fibroblast"
"795","GSM1585239","fibroblast"
"796","GSM1585240","fibroblast"
"797","GSM1585241","fibroblast"
"798","GSM1585242","fibroblast"
"799","GSM1585243","fibroblast"
"800","GSM1585244","fibroblast"
"801","GSM1585245","fibroblast"
"802","GSM1592570","NCCIT"
"803","GSM1592571","NCCIT"
"804","GSM1592572","NCCIT"
"805","GSM1592573","NCCIT"
"806","GSM1606099","HEK293T"
"807","GSM1606100","HEK293T"
"808","GSM1606101","HEK293T"
"809","GSM1606102","HEK293T"
"810","GSM1606103","HEK293T"
"811","GSM1606104","HEK293T"
"812","GSM1606105","HEK293T"
"813","GSM1606106","HEK293T"
"814","GSM1606107","HEK293T"
"815","GSM1606108","HEK293T"
"816","GSM1606109","HEK293T"
"817","GSM1606110","HEK293T"
"818","GSM1606111","HEK293T"
"819","GSM1606112","HEK293T"
"820","GSM1606113","HEK293T"
"821","GSM1606114","HEK293T"
"822","GSM1608261","MCF10A"
